"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4241","verify product search dummy","webkit","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","4346","verify product info page","chromium","2026-05-22","passed","2026-05-22","","productInfo.spec.ts","",""
"","8070","verify product search samsung","chromium","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","7501","verify product search macbook","chromium","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","4982","verify product search canon","webkit","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","5108","verify product info page canon","chromium","2026-05-22","passed","2026-05-22","","productInfo.spec.ts","",""
"","7138","verify product search macbook","webkit","2026-05-21","failed","2026-05-21","","search.spec.ts","",""
"","20477","verify product search macbook","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","5444","verify product info page samsung","chromium","2026-05-22","passed","2026-05-22","","productInfo.spec.ts","",""
"","5225","verify product search samsung","webkit","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","5206","verify product meta data","chromium","2026-06-03","passed","2026-06-03","","productInfo.spec.ts","",""
"","7830","verify product search canon","chromium","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","16312","verify product search samsung","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","15877","verify product search dummy","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","4684","verify product info page macbook","chromium","2026-05-22","passed","2026-05-22","","productInfo.spec.ts","",""
"","7776","verify product search dummy","chromium","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","51760","verify product search canon","firefox","2026-05-21","broken","2026-05-21","","search.spec.ts","",""
